PersonId,Sex,Age,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
11,Female,17,1,5,2,5,1,4,1,4,1,5,5,3,5,3,2,5,3,3,4,3,2,4,2,4,1,5,1,4,3,3,3,4,3,4,1,5,3,3,3,3,5,3,5,3,4,1,3,5,4,5
12,Male,15,3,3,5,3,3,3,2,4,3,3,1,5,3,3,2,3,2,3,2,4,4,4,2,2,5,5,2,5,4,4,3,3,4,3,3,5,3,3,3,4,3,1,4,1,4,5,4,3,4,5
13,Female,22,3,3,4,2,4,2,2,3,4,3,3,3,3,3,2,2,4,4,2,3,1,4,1,5,1,5,2,4,5,4,4,2,4,2,3,4,4,1,5,4,3,2,4,2,3,2,3,3,5,4
14,Female,21,1,3,2,5,1,1,1,5,1,5,5,3,5,2,5,5,3,2,5,3,1,1,1,4,2,3,5,4,4,2,5,2,5,1,3,2,5,2,4,4,3,1,3,3,4,1,4,3,5,4
15,Female,28,3,3,3,4,3,2,2,4,3,5,2,4,4,4,4,4,2,2,3,2,1,4,2,4,2,4,2,4,3,4,4,2,4,2,4,2,4,2,4,4,3,2,4,3,4,2,4,2,4,4
16,Male,21,2,3,2,3,3,1,1,3,4,4,2,4,2,4,1,2,2,2,2,2,4,2,4,2,5,2,5,2,1,2,4,2,4,1,3,2,4,1,4,5,4,1,5,1,5,1,4,4,5,5
17,Female,19,1,3,2,4,2,4,1,4,3,4,4,2,3,2,1,3,1,2,2,3,4,2,3,1,4,1,5,3,1,1,4,3,5,2,2,4,3,1,3,5,5,1,4,1,4,1,5,5,5,4
18,Female,21,4,1,5,2,5,1,5,3,5,1,5,2,5,2,3,3,3,3,4,2,1,5,2,5,2,5,1,5,5,3,3,4,3,3,1,1,3,3,4,3,3,1,3,3,3,3,5,4,3,3
19,Female,26,2,3,4,3,1,4,1,4,1,5,4,2,5,2,1,4,2,2,2,2,2,2,2,2,2,5,2,4,2,3,4,1,5,1,4,2,5,1,5,4,4,1,4,2,4,2,5,3,2,2
20,Female,26,2,2,3,3,3,3,1,3,3,3,4,4,3,1,3,2,2,2,4,4,1,3,2,4,3,2,3,3,4,4,1,2,5,2,2,1,4,2,2,2,4,2,5,2,2,1,5,3,4,4
21,Female,19,1,4,2,5,3,4,2,4,3,3,4,4,4,4,4,4,5,5,4,2,4,5,1,5,2,4,1,4,5,3,2,3,4,5,3,4,2,1,1,5,5,3,5,2,4,1,4,3,4,4
22,Female,29,2,3,4,2,4,1,3,4,2,3,1,2,2,3,2,1,2,1,2,2,2,4,3,3,1,2,2,4,2,3,4,3,5,1,4,2,4,1,3,4,5,1,4,1,4,1,5,4,4,4
23,Female,29,2,3,1,4,2,4,1,3,3,4,3,3,5,2,3,3,4,3,3,3,1,4,1,4,2,4,3,5,4,3,4,2,4,2,4,1,5,2,4,4,4,2,5,3,4,2,3,4,5,3
24,Male,21,3,3,4,3,4,3,3,3,4,3,3,4,3,5,3,2,2,2,2,2,1,4,2,4,2,5,2,4,4,3,3,4,5,3,2,4,3,2,4,3,3,2,4,2,4,2,5,2,5,3
25,Female,52,3,4,4,4,2,3,3,3,4,5,4,4,4,3,2,2,3,2,1,3,1,4,1,5,3,3,3,3,4,4,3,5,4,3,1,5,4,4,2,4,4,3,4,4,4,2,4,4,5,4
26,Female,19,1,3,2,4,2,3,3,2,2,5,5,4,4,3,2,3,1,1,3,3,5,4,1,5,1,3,1,4,5,4,4,1,5,2,1,4,3,1,2,4,3,5,5,1,4,1,5,3,3,5
27,Male,48,5,5,4,1,5,1,5,1,5,2,3,4,4,5,3,3,4,3,3,2,4,5,4,4,4,4,1,2,4,5,2,5,2,5,1,5,3,3,5,5,4,1,5,1,5,1,4,4,2,5
28,Male,22,3,3,4,3,2,2,3,4,2,4,4,3,4,3,2,2,3,3,2,2,1,2,1,3,2,4,2,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,4,3,3,2,3,2,4,3
29,Female,17,2,4,3,4,2,2,4,5,1,5,5,4,5,1,3,4,5,4,4,4,3,5,5,4,1,5,1,4,2,3,2,5,3,4,1,2,2,5,3,1,4,3,3,1,4,2,3,3,5,5
30,Male,37,3,3,3,3,2,2,4,2,3,4,1,3,4,5,2,3,1,1,2,1,1,4,3,4,3,3,2,4,4,4,4,1,4,2,4,1,2,3,2,4,3,2,4,3,4,2,4,3,4,3
31,Female,19,4,2,1,5,4,1,3,3,1,5,4,4,5,2,2,4,4,3,4,4,2,5,4,5,2,5,2,4,5,4,1,1,3,5,1,4,3,1,1,3,3,3,5,3,3,1,3,3,3,5
32,Female,22,2,3,3,4,3,2,4,5,2,4,5,3,5,2,2,2,3,2,3,3,2,3,2,4,3,3,3,4,5,5,3,4,5,3,2,2,3,3,3,3,4,1,5,1,4,2,5,3,5,5
33,Male,25,4,2,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,2,2,2,4,3,4,2,3,2,4,4,4,4,3,4,3,4,2,4,2,4,4,3,2,2,2,4,2,4,3,4,4
34,Female,20,5,2,4,1,5,1,5,1,5,3,4,3,4,1,1,4,5,5,4,4,1,5,4,4,1,5,1,5,5,4,2,5,1,4,1,5,1,1,1,1,5,1,4,1,4,1,4,5,5,4
35,Female,15,1,4,3,4,3,3,1,5,1,5,3,3,4,3,1,3,4,2,4,4,4,3,3,3,3,5,5,3,3,3,2,5,3,5,1,4,3,5,2,3,2,3,4,3,2,3,3,1,3,3
36,Female,46,1,2,3,3,3,1,1,4,2,3,4,2,5,1,4,5,4,4,3,5,1,3,1,5,3,4,4,2,5,3,5,2,5,1,2,1,5,1,4,5,5,1,4,3,3,2,5,5,5,3
37,Male,15,1,5,2,5,2,2,2,3,4,5,1,4,4,2,2,2,2,2,2,4,1,5,4,5,2,5,2,5,5,1,5,1,5,5,2,2,5,2,2,5,5,4,5,1,5,1,5,5,2,5
38,Female,18,2,3,3,3,4,1,1,3,1,3,2,4,3,2,3,2,4,3,2,4,1,4,1,4,1,4,2,4,4,5,4,1,4,3,2,2,3,2,4,3,5,1,5,1,4,1,4,4,4,5
39,Male,42,2,4,2,4,2,3,3,4,2,5,3,4,3,3,3,2,2,1,3,2,4,3,2,3,2,3,3,2,3,2,3,5,3,4,1,5,2,3,2,4,5,1,3,1,5,2,4,5,5,4
40,Female,27,1,2,2,4,2,2,1,4,2,5,3,4,5,3,4,2,3,2,3,2,1,4,2,4,2,4,1,4,4,3,4,2,5,2,5,2,4,2,4,3,4,2,4,2,3,2,4,4,4,4
41,Male,17,5,1,1,1,5,1,5,1,5,1,1,5,1,5,1,1,1,1,1,1,5,1,5,1,5,5,5,1,1,5,5,1,5,1,5,1,5,1,1,1,5,1,5,1,5,1,5,5,5,5
42,Female,17,4,2,3,3,3,2,5,3,5,5,5,2,5,4,5,5,5,3,5,2,2,5,2,4,2,5,2,5,3,3,4,1,4,5,5,2,5,1,4,3,2,2,1,1,3,1,4,4,5,2
43,Female,17,2,3,2,4,2,2,2,4,3,5,3,3,4,3,4,3,4,2,4,3,3,3,2,4,3,4,3,3,3,3,4,2,5,3,2,3,4,3,2,3,3,3,4,3,4,2,4,2,4,5
44,Female,60,3,1,5,1,5,1,5,1,5,1,2,2,5,1,5,4,5,4,5,5,1,5,5,5,5,4,1,4,5,5,5,1,5,2,5,1,5,1,5,4,4,2,4,2,5,1,5,2,5,5
45,Female,27,1,3,4,5,3,3,3,5,1,5,4,2,5,3,4,5,4,4,3,4,1,5,1,5,1,5,1,5,5,5,5,4,4,3,2,4,3,2,4,4,4,3,5,4,3,1,5,4,5,2
46,Female,19,4,2,4,3,5,2,5,2,5,3,5,2,4,2,4,3,3,3,3,4,1,4,2,4,2,3,1,3,5,4,5,3,3,3,4,3,5,1,5,5,5,2,4,2,5,1,4,4,4,5
47,Male,20,1,5,2,5,2,3,1,4,2,5,3,4,3,3,2,2,2,2,4,3,4,3,4,2,3,2,4,3,3,3,3,3,4,2,2,3,3,3,2,4,4,3,5,3,3,2,3,3,4,3
48,Male,19,2,3,5,2,5,2,3,2,5,1,1,2,2,3,1,1,1,1,1,3,5,5,1,4,1,4,2,4,4,5,5,1,5,1,5,1,4,1,5,5,4,2,3,1,4,1,5,1,5,4
49,Female,26,1,5,1,5,1,5,1,5,1,5,5,2,5,1,5,5,5,5,4,5,4,3,1,4,3,5,2,4,4,3,1,4,2,5,1,5,3,5,3,2,5,2,5,1,4,1,2,5,5,4
50,Male,24,1,2,3,5,4,1,1,3,4,4,4,3,5,3,4,4,4,4,5,3,4,3,5,4,1,5,3,3,3,2,4,5,4,4,1,4,3,4,2,3,4,2,5,2,5,3,5,4,4,5
51,Female,19,1,4,2,4,1,2,1,4,2,5,5,2,5,2,2,4,5,4,3,3,2,4,3,5,2,4,2,3,4,2,4,3,5,4,2,4,5,2,4,4,4,3,4,3,3,2,4,3,4,4
52,Female,18,2,3,2,5,2,1,1,3,5,5,5,2,5,2,5,5,5,5,5,5,3,2,3,2,3,5,3,3,3,3,1,5,3,5,3,5,3,5,2,4,5,3,5,4,5,1,4,5,5,5
53,Female,14,2,2,2,2,4,1,2,2,2,4,4,3,4,2,3,5,4,4,4,2,4,4,4,2,2,3,1,3,3,2,2,3,5,3,1,5,2,3,2,3,5,2,4,2,4,2,3,4,5,5
54,Female,25,2,1,4,2,4,1,1,4,2,3,5,3,2,2,2,2,1,1,2,2,1,5,1,5,2,4,1,2,5,5,5,1,4,1,5,1,2,1,4,4,3,2,1,2,2,1,4,1,4,4
55,Male,47,4,1,3,1,2,1,4,4,4,4,4,3,4,3,2,3,4,3,3,3,2,5,2,2,5,4,3,3,1,3,5,4,4,1,3,1,5,1,4,4,5,1,4,1,5,1,4,5,3,5
56,Male,18,2,4,2,4,2,4,2,4,2,4,4,3,4,1,2,4,3,3,4,4,2,2,2,4,3,2,4,2,4,3,3,4,3,3,2,3,3,4,2,4,4,4,4,4,3,3,4,3,4,3
57,Male,23,2,1,4,2,2,4,5,5,2,5,5,2,5,3,5,5,5,4,4,4,4,4,4,2,3,5,1,4,1,3,4,3,5,3,1,3,4,3,5,3,3,3,5,4,4,1,3,4,4,4
58,Other,14,2,2,2,2,2,1,1,2,4,4,5,3,4,2,4,3,4,3,4,3,1,4,2,3,1,4,1,2,2,2,2,4,3,4,1,5,3,5,2,3,4,2,3,2,3,2,4,4,2,2
59,Female,20,1,4,2,5,1,2,1,5,1,5,5,2,5,2,4,4,2,2,4,2,1,5,1,5,1,4,1,4,5,3,4,2,2,2,2,1,4,2,4,2,5,1,5,3,4,1,5,4,5,4
60,Female,35,4,1,5,3,5,1,1,1,4,1,5,2,5,4,4,5,2,2,4,2,1,5,1,5,1,5,1,3,5,5,2,1,5,4,1,1,5,2,5,3,5,1,5,4,5,1,5,5,2,5
61,Female,34,4,1,4,2,5,2,5,2,4,2,2,3,4,2,2,3,4,2,2,3,1,5,2,5,1,5,1,5,4,4,4,2,4,1,4,1,5,1,4,4,3,2,4,1,3,2,3,3,5,3
62,Female,36,5,5,5,5,5,5,5,2,5,1,5,1,5,5,5,5,5,5,5,2,5,5,5,5,1,5,1,5,5,5,4,5,5,1,4,5,5,1,2,5,1,5,5,2,5,1,2,1,5,3
63,Male,15,3,3,3,5,2,3,3,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,2,3,4,4,4,1,5,4,4,2,3,4,5,5,3,3,2,2,4,4,4
64,Male,20,4,3,4,2,4,2,4,2,4,2,1,5,2,3,2,2,2,2,2,2,1,5,1,5,5,5,1,5,5,4,4,5,5,2,1,5,4,3,3,4,5,1,3,1,4,3,4,3,5,4
65,Female,54,2,3,4,3,2,2,2,4,2,4,3,4,3,5,1,1,1,1,2,1,2,3,1,3,3,4,3,4,3,5,4,2,5,1,5,5,4,1,4,5,3,3,5,2,5,1,4,2,4,5
66,Male,47,2,4,5,2,4,4,4,2,2,3,3,3,4,2,4,2,4,1,2,2,4,4,1,5,1,5,2,5,4,4,2,2,3,4,2,4,3,2,2,3,3,2,4,2,5,2,5,2,5,4
67,Male,17,3,5,4,4,3,4,2,5,4,5,5,4,5,3,4,5,5,5,4,4,4,5,4,5,2,5,4,5,5,5,3,2,5,5,2,4,3,3,3,4,3,3,5,3,3,4,3,4,5,3
68,Male,45,4,4,4,2,3,2,4,4,5,3,2,4,4,4,1,2,1,1,2,2,1,3,1,5,2,5,2,5,5,5,4,1,5,1,5,1,5,1,5,5,4,1,4,1,5,4,5,1,5,3
69,Female,32,2,2,5,2,4,3,2,5,1,2,5,1,5,2,4,4,5,5,4,4,1,4,3,4,1,4,2,5,4,2,4,1,5,1,4,5,5,3,5,5,4,4,2,2,3,2,4,4,2,2
70,Female,23,3,1,5,2,5,1,3,3,3,2,3,4,4,3,3,3,4,3,3,3,1,5,2,5,1,2,1,5,5,4,2,4,4,2,3,4,2,3,1,4,3,2,4,1,4,3,4,4,5,3
71,Female,23,4,1,4,2,4,1,2,2,5,4,4,2,5,5,1,2,2,1,1,1,2,5,1,5,2,4,1,3,4,5,3,3,4,2,2,3,3,2,3,4,3,2,4,2,4,1,4,3,2,4
72,Female,14,1,2,2,5,4,1,1,2,2,5,5,1,5,1,5,5,5,3,5,5,1,3,1,5,2,5,2,4,4,3,4,3,3,4,3,4,5,2,5,4,4,2,5,2,2,1,4,5,4,5
73,Male,19,5,2,2,3,2,2,5,5,3,5,4,5,5,2,4,3,3,2,3,3,3,4,3,5,2,4,1,4,4,3,3,5,3,3,1,5,4,4,2,2,4,1,5,1,4,1,5,4,5,4
74,Female,15,1,4,2,4,3,5,3,5,2,5,5,3,5,3,2,5,5,5,4,1,2,5,1,5,1,3,1,4,4,3,3,5,3,5,1,5,3,3,3,4,2,3,4,2,4,3,3,3,5,3
75,Female,49,3,2,4,4,5,2,4,4,2,2,4,4,4,4,3,2,2,2,4,2,3,4,2,4,4,4,2,3,3,4,2,5,3,4,1,5,3,4,2,2,5,1,4,1,4,2,5,5,5,4
76,Female,47,1,5,2,5,1,5,1,4,2,5,5,2,3,1,2,4,3,3,2,5,2,4,1,4,2,5,1,4,4,5,3,4,5,2,1,4,4,1,3,5,3,3,5,2,5,1,5,3,5,5
77,Female,23,3,4,4,3,4,1,1,5,1,5,5,4,5,3,4,5,3,1,5,3,1,5,1,5,1,5,1,3,5,5,4,4,5,1,1,2,4,1,3,4,5,4,3,4,2,2,4,4,4,3
78,Female,19,1,5,2,5,2,2,1,5,1,4,5,1,5,1,5,4,2,2,4,5,3,2,5,2,3,3,4,2,2,2,4,2,5,3,2,2,4,4,4,4,4,3,5,3,4,1,4,4,4,4
79,Male,36,3,2,1,3,5,2,1,5,2,5,4,3,5,3,4,3,3,3,5,3,1,5,4,4,1,4,2,5,4,3,5,2,4,2,4,1,5,1,5,5,5,4,3,2,4,3,4,5,4,4
80,Female,21,2,3,4,2,4,1,4,4,4,4,5,1,5,1,1,5,5,4,3,5,1,5,2,5,1,4,1,5,5,3,4,5,2,5,2,5,4,3,2,3,4,2,5,2,4,1,5,4,5,4
81,Female,21,3,1,3,1,5,1,1,2,3,5,5,1,5,2,4,5,4,4,5,5,1,5,5,5,1,3,1,5,5,3,3,5,5,5,1,5,4,1,5,5,5,1,5,1,4,1,5,5,5,5
82,Male,13,3,4,3,3,3,5,2,5,3,4,5,4,5,1,4,5,5,5,5,5,2,2,4,3,2,3,4,3,3,4,3,3,4,4,3,4,3,3,3,3,4,1,4,1,2,2,4,4,5,3
83,Female,21,3,3,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,2,5,2,4,4,4,3,1,4,1,4,1,5,3,3,3,2,2,4,3,4,3,4,2,3,4
84,Male,32,4,2,5,3,5,1,4,1,5,1,1,3,3,3,2,1,1,1,1,2,3,4,2,4,1,4,2,4,4,5,5,1,5,2,3,1,2,2,5,3,5,2,3,3,3,1,5,2,3,3
85,Female,33,4,1,5,2,5,1,5,1,5,2,3,4,4,3,2,3,2,3,3,2,1,5,1,5,1,4,1,1,5,5,3,2,4,2,4,1,4,1,4,3,4,2,5,2,5,1,5,4,4,5
86,Male,33,3,2,4,2,4,2,4,2,4,2,2,4,2,4,2,4,2,2,2,2,4,4,2,4,2,4,2,4,2,4,4,3,4,2,4,2,4,2,4,4,4,2,4,3,4,2,4,4,4,4
87,Male,16,2,2,2,3,2,2,5,3,3,5,3,3,4,1,2,4,3,3,4,5,4,3,4,4,3,4,4,3,3,2,2,2,3,4,3,3,4,4,3,3,5,2,5,2,2,1,4,3,4,3
88,Female,21,3,2,2,2,4,3,4,4,4,4,4,3,5,2,2,3,4,4,3,4,3,1,1,4,3,3,4,3,4,4,3,3,5,3,2,5,4,3,2,4,4,1,5,1,4,1,5,4,4,4
89,Female,31,3,3,5,2,5,1,2,3,3,2,1,5,2,1,1,2,1,1,3,3,1,3,1,4,2,3,2,3,3,3,3,1,2,1,5,2,4,3,2,4,3,4,3,3,3,4,5,1,4,5
90,Male,17,1,5,1,5,1,4,1,5,3,5,4,3,5,1,4,3,1,1,1,1,1,5,1,5,1,3,1,5,4,4,1,4,5,1,1,5,1,3,1,3,5,1,5,1,5,1,4,5,5,5
91,Female,26,2,3,3,3,3,2,2,3,2,5,3,3,3,3,3,3,3,2,3,2,1,4,2,5,1,4,2,3,4,4,3,2,4,3,4,2,5,3,4,4,5,2,2,2,2,4,4,4,4,2
92,Male,34,4,2,3,2,4,1,2,3,3,3,5,4,5,1,4,4,3,3,3,5,1,5,1,5,1,5,1,5,5,5,4,5,5,3,1,4,2,2,4,5,5,1,5,1,5,1,5,5,5,5
93,Female,21,1,1,5,3,5,1,1,5,1,3,1,3,3,1,1,1,1,1,1,1,1,5,1,3,1,3,1,5,3,3,5,1,5,1,5,1,5,1,5,5,3,1,4,1,4,5,5,2,5,4
94,Female,26,5,3,5,2,3,1,5,2,4,4,1,5,1,5,5,1,2,2,5,1,4,5,1,2,4,4,2,5,4,4,4,3,4,3,4,3,3,3,4,4,4,2,4,2,4,1,5,3,4,4
95,Female,22,2,3,3,4,4,2,3,2,4,4,1,4,2,4,1,1,2,1,1,1,2,3,4,3,3,3,3,4,2,5,5,5,4,3,2,2,3,3,2,3,5,3,4,4,4,2,3,4,4,3
96,Female,19,1,4,2,2,2,3,1,3,2,5,5,2,5,1,4,4,4,4,3,5,1,4,2,5,2,5,1,3,4,3,2,2,4,3,2,3,4,2,2,2,4,3,4,1,1,2,3,3,4,3
97,Male,19,4,4,2,4,2,4,2,5,1,4,2,4,2,3,3,3,4,3,4,3,3,4,5,4,3,3,3,4,3,3,3,3,3,5,1,4,1,3,2,2,4,2,4,2,3,2,4,4,4,3
98,Female,21,4,1,5,1,5,1,5,5,3,5,3,4,3,3,2,4,4,2,4,2,2,5,3,5,1,3,1,5,5,4,3,5,4,4,1,4,3,2,3,4,4,1,5,1,5,1,5,4,5,5
99,Male,49,3,1,5,3,4,1,4,2,4,2,3,5,3,1,2,1,1,1,1,1,1,5,1,4,1,3,1,5,4,5,4,3,5,1,5,1,4,3,5,5,5,1,4,1,4,1,4,2,5,5
100,Female,18,3,3,4,4,5,2,5,4,3,4,4,3,4,2,2,3,3,2,2,3,2,5,2,5,2,5,2,5,5,5,4,2,5,2,4,3,4,2,4,4,3,1,5,1,5,1,5,3,5,5
101,Female,32,1,3,2,4,1,1,1,4,3,4,4,3,4,3,4,4,4,4,4,2,3,3,2,4,1,5,1,4,4,3,4,3,3,4,1,4,1,2,4,2,2,3,3,3,4,4,4,2,3,2
102,Female,60,1,4,5,3,5,3,3,5,1,4,4,3,4,1,5,4,2,2,4,2,1,5,1,5,1,4,1,5,5,5,2,4,5,4,1,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5
103,Female,22,1,3,2,4,3,2,1,4,2,4,5,2,5,1,4,5,4,4,3,4,1,4,4,4,1,5,2,4,5,5,2,4,4,3,1,5,3,3,2,3,5,3,5,3,3,1,5,5,4,3
104,Male,24,1,5,1,5,2,5,1,5,1,5,2,5,2,3,2,2,2,3,1,3,1,2,1,1,1,2,5,3,1,3,4,1,4,1,2,2,5,3,4,4,4,1,3,4,3,1,5,4,2,4
105,Female,16,2,2,3,3,3,1,2,2,2,5,3,4,4,4,1,2,2,2,2,2,1,5,2,5,3,5,1,4,3,3,3,2,3,4,2,4,5,3,4,5,4,1,4,1,4,1,4,2,5,5
106,Male,20,2,4,2,3,3,2,2,4,4,4,4,3,4,2,3,3,4,4,3,3,3,3,3,2,4,3,3,3,4,3,3,3,3,3,2,4,2,4,2,4,4,1,4,1,4,1,4,3,4,4
107,Female,47,3,2,3,3,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,1,4,1,4,2,4,2,3,4,4,2,2,3,2,3,2,3,2,3,3,3,2,4,2,5,1,4,2,3,4
108,Female,15,2,1,2,2,3,2,2,5,2,4,5,4,4,2,5,2,4,4,5,3,2,3,5,3,2,3,2,3,3,3,4,5,4,4,1,4,2,4,4,3,3,2,3,3,2,3,5,4,4,3
109,Female,17,1,3,3,5,3,5,1,5,1,5,4,5,5,1,2,3,5,4,4,4,4,2,1,2,4,4,3,2,2,3,3,5,4,1,1,1,3,3,1,2,1,1,3,5,1,5,3,1,5,1
110,Female,13,5,1,5,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,5,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,1,5
111,Female,16,4,4,1,5,2,4,1,5,4,5,5,1,5,4,4,2,4,3,5,4,2,5,2,2,4,5,2,4,2,3,5,4,2,3,1,5,5,3,4,5,4,2,5,3,4,2,5,2,5,3
112,Female,23,1,4,2,2,4,4,4,5,1,5,3,5,2,3,2,2,5,4,2,3,2,3,1,2,3,3,2,3,2,4,4,1,2,4,3,3,1,3,1,4,2,4,3,3,4,2,3,3,5,3
113,Female,30,5,2,5,1,5,1,5,1,5,2,3,4,3,4,1,1,3,2,2,1,1,5,1,5,1,5,1,5,5,5,4,4,3,4,3,5,2,1,3,2,3,2,4,1,5,1,4,3,4,5
114,Female,17,3,1,4,1,5,1,3,1,5,2,4,2,5,2,2,2,4,2,5,2,2,5,5,4,1,5,2,5,4,4,1,5,4,4,1,5,3,4,4,4,3,2,5,1,5,1,4,2,5,5
115,Female,20,2,3,3,4,3,3,2,4,2,4,4,3,4,3,2,3,3,3,4,3,1,4,2,4,1,4,2,4,5,4,4,2,3,3,3,3,3,2,4,3,3,2,4,2,3,2,3,2,4,3
116,Male,25,2,2,2,4,4,2,1,2,4,5,4,3,5,2,1,4,2,4,4,4,2,4,2,4,2,2,2,2,4,2,4,2,4,4,1,2,4,2,4,3,5,1,5,1,4,1,4,5,5,4
117,Male,27,4,1,4,1,4,1,4,1,5,1,4,2,3,4,4,3,4,4,4,2,4,3,3,2,4,2,4,1,4,4,4,3,4,3,3,3,3,3,2,4,5,1,5,1,5,1,4,5,4,5
118,Female,25,1,4,2,5,2,4,1,5,2,4,4,3,4,1,3,2,3,2,2,4,2,4,1,4,3,2,2,4,3,3,5,1,5,1,5,1,5,1,5,5,5,2,4,2,4,2,4,4,5,3
119,Female,21,3,2,3,2,4,3,2,4,2,4,4,2,4,4,2,3,2,2,3,2,1,5,1,5,1,5,1,5,5,3,4,4,4,2,4,2,4,1,4,3,3,3,4,4,2,3,4,2,3,2
120,Male,59,1,4,4,2,4,2,3,2,4,2,1,4,2,5,2,2,1,1,3,1,1,4,1,4,1,5,1,4,4,3,3,1,2,1,3,2,3,3,4,4,5,3,5,1,5,1,3,5,4,5
121,Female,30,4,2,5,2,4,1,4,1,4,2,2,3,2,5,2,2,1,2,1,1,2,5,1,4,1,3,1,4,3,4,4,2,5,1,4,1,3,1,3,4,5,1,5,1,5,1,5,5,4,5
122,Female,37,5,1,5,1,5,1,3,4,5,1,1,1,3,4,5,5,5,4,5,1,3,3,3,2,5,1,5,2,2,5,1,4,1,4,2,5,2,1,3,5,4,4,1,4,5,5,5,4,5,5
123,Female,27,2,4,3,4,3,4,2,3,2,3,5,3,5,2,2,3,4,4,4,5,2,4,2,4,2,4,2,5,4,4,3,4,3,4,3,2,3,2,3,4,4,2,4,2,3,1,3,3,4,4
124,Female,41,2,3,3,4,2,3,2,5,1,5,4,2,4,3,2,4,4,4,4,2,1,4,2,4,2,4,3,4,4,3,5,1,5,1,3,1,5,1,5,5,3,3,3,4,4,3,4,3,4,3
125,Male,18,4,2,5,2,3,3,4,2,5,4,3,4,3,2,5,1,3,1,4,2,4,3,5,2,4,2,3,3,3,5,3,4,4,3,2,4,2,3,2,3,3,2,5,2,3,1,4,4,4,5
126,Female,21,3,2,3,2,4,2,4,2,4,3,5,2,5,2,3,4,4,4,4,2,2,4,3,5,2,4,2,4,4,4,2,4,4,5,2,4,3,3,2,3,3,2,4,2,4,2,3,4,4,4
127,Female,15,5,3,5,4,3,2,3,5,1,1,3,5,5,2,3,1,3,2,3,1,1,3,1,5,1,5,2,5,5,5,4,4,5,2,3,1,5,3,5,5,4,1,4,2,4,1,5,4,3,4
